品牌,屏幕尺寸,效能等级,分辨率,电视类型,品牌类型,观看距离,用户优先,产品渠道,覆盖组合个数
haier,55英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
VID^^,48-50英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VID^^,39-45英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,不选,2
haier,32英寸及以下,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,1
Hisense,65英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,78英寸及以上,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
haier,不选,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
不选,70-75英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,58-60英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
华为,55英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,48-50英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
LG,39-45英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
haier,70-75英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,39-45英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
MAXHUB,不选,无效能等级,不选,超薄,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,3
sharp,78英寸及以上,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,65英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
华为,58-60英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
酷开,55英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
MAXHUB,48-50英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,32英寸及以下,无效能等级,高清(1366×768),激光电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
华为,78英寸及以上,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
tcl,不选,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,70-75英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,2
酷开,65英寸,无效能等级,高清(1366×768),全面屏,国产品牌,2m以下(≤32英寸),新品电视,线上专供,2
三星,58-60英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,55英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
haier,48-50英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
MAXHUB,39-45英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
菲利普,32英寸及以下,无效能等级,高清(1366×768),人工智能,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
华为,32英寸及以下,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
Panasonic,32英寸及以下,无效能等级,高清(1366×768),OLED,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,1
三星,不选,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VID^^,78英寸及以上,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,70-75英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,65英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,58-60英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,55英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,48-50英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,39-45英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
konka,78英寸及以上,无效能等级,高清(1366×768),智慧屏,互联网品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
VIH,32英寸及以下,无效能等级,全高清(1920×1080),商业显示,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
Panasonic,70-75英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
VIH,不选,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,65英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,58-60英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,55英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
haier,48-50英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,不选,新品电视,线上专供,2
konka,39-45英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,不选,新品电视,线上专供,2
sony,39-45英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,65英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,不选,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
MAXHUB,78英寸及以上,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,70-75英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,58-60英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,55英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,48-50英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,32英寸及以下,无效能等级,高清(1366×768),大屏,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,1
konka,70-75英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,58-60英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
菲利普,不选,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,78英寸及以上,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,65英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
Panasonic,55英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,48-50英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,39-45英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,78英寸及以上,无效能等级,高清(1366×768),OLED,国产品牌,2m以下(≤32英寸),新品电视,线上专供,2
小米,不选,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,65英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
VID^^,32英寸及以下,一级效能,不选,游戏电视,商业显示品牌,不选,新品电视,线上专供,4
LG,不选,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
华为,70-75英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,58-60英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VID^^,55英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
三星,48-50英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,39-45英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,32英寸及以下,无效能等级,全高清(1920×1080),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,55英寸,无效能等级,全高清(1920×1080),超薄,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
MAXHUB,不选,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
创维,78英寸及以上,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,70-75英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,不选,新品电视,线上专供,2
tcl,65英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,58-60英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
小米,48-50英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,39-45英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,32英寸及以下,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
VID^^,32英寸及以下,无效能等级,高清(1366×768),量子点,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
创维,32英寸及以下,无效能等级,高清(1366×768),曲面,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
酷开,32英寸及以下,无效能等级,高清(1366×768),激光电视,互联网品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
LG,55英寸,二级效能,高清(1366×768),量子点,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
不选,78英寸及以上,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,70-75英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,65英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,58-60英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,48-50英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
haier,39-45英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,32英寸及以下,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,不选,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,70-75英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
菲利普,39-45英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
MAXHUB,32英寸及以下,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,2
haier,78英寸及以上,无效能等级,高清(1366×768),OLED,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
创维,65英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VID^^,58-60英寸,无效能等级,全高清(1920×1080),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
MAXHUB,55英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,2
菲利普,48-50英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,65英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,不选,新品电视,线上专供,2
sony,32英寸及以下,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,1
Panasonic,70-75英寸,无效能等级,8k超高清(7680×4320),商业显示,商业显示品牌,不选,新品电视,线上专供,3
Hisense,不选,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,78英寸及以上,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
MAXHUB,58-60英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,55英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
酷开,48-50英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
小米,39-45英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,78英寸及以上,无效能等级,高清(1366×768),激光电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
LG,32英寸及以下,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
